Passenger 1 ID,Passenger 2 ID,Number of Flights Together,From,To
1,37,4,2017-01-01,2017-12-22
1,38,4,2017-01-01,2017-12-22
1,76,4,2017-01-01,2017-12-22
1,120,4,2017-11-29,2017-12-29
1,1694,4,2017-11-29,2017-12-29
1,2005,4,2017-11-29,2017-12-29
1,2658,4,2017-11-29,2017-12-29
1,2761,4,2017-11-29,2017-12-29
1,2814,4,2017-11-29,2017-12-29
1,3484,4,2017-11-29,2017-12-29
1,3638,4,2017-11-29,2017-12-29
1,6399,4,2017-11-29,2017-12-29
1,9039,4,2017-11-29,2017-12-29
1,9082,4,2017-11-29,2017-12-29
3,6,4,2017-01-01,2017-03-05
3,50,4,2017-01-01,2017-03-05
3,61,4,2017-01-01,2017-03-05
3,66,4,2017-01-01,2017-03-05
3,72,4,2017-01-01,2017-03-05
3,93,4,2017-01-01,2017-03-05
4,88,4,2017-01-01,2017-12-29
4,4634,4,2017-08-03,2017-10-29
6,50,4,2017-01-01,2017-03-05
6,61,4,2017-01-01,2017-03-05
6,66,4,2017-01-01,2017-03-05
6,72,8,2017-01-01,2017-11-03
6,88,4,2017-01-01,2017-10-29
6,93,4,2017-01-01,2017-03-05
6,97,5,2017-01-01,2017-12-08
6,119,4,2017-01-10,2017-03-07
6,121,4,2017-01-10,2017-03-07
6,139,4,2017-01-10,2017-03-07
6,165,4,2017-01-10,2017-03-07
6,173,4,2017-01-10,2017-03-07
6,190,4,2017-01-10,2017-03-07
6,1120,4,2017-10-08,2017-12-08
6,2004,4,2017-01-10,2017-03-07
6,2026,4,2017-01-10,2017-03-07
6,2082,4,2017-01-10,2017-03-07
6,2311,4,2017-01-10,2017-10-29
6,2390,4,2017-01-10,2017-03-07
6,2392,4,2017-01-10,2017-03-07
6,2555,4,2017-03-07,2017-12-08
6,3629,5,2017-02-06,2017-10-29
6,4517,4,2017-03-07,2017-12-08
6,8075,4,2017-10-08,2017-12-08
6,11548,4,2017-10-08,2017-12-08
7,49,4,2017-01-01,2017-11-24
7,68,4,2017-01-01,2017-11-24
7,69,4,2017-01-01,2017-11-24
7,78,4,2017-01-01,2017-11-24
11,5609,4,2017-10-03,2017-12-24
11,5740,4,2017-07-08,2017-12-17
11,6030,4,2017-10-03,2017-12-24
11,7638,4,2017-10-03,2017-12-24
13,63,4,2017-01-01,2017-12-14
16,755,4,2017-05-15,2017-08-16
16,4147,4,2017-05-27,2017-08-16
